Epoch: [2][140/596], lr: 0.0002500	Time 0.561 (0.554)	Loss 0.0835 (0.1757)	Loss_h 2.7773 (3.5390)	Prec@1 100.000 (94.814)	
Epoch: [2][160/596], lr: 0.0002500	Time 0.530 (0.552)	Loss 0.0795 (0.1733)	Loss_h 3.8322 (3.5576)	Prec@1 100.000 (94.876)	
Epoch: [2][180/596], lr: 0.0002500	Time 0.516 (0.550)	Loss 0.3162 (0.1755)	Loss_h 3.1199 (3.5644)	Prec@1 87.500 (94.786)	
Epoch: [2][200/596], lr: 0.0002500	Time 0.521 (0.549)	Loss 0.0241 (0.1716)	Loss_h 3.4539 (3.5745)	Prec@1 100.000 (94.776)	
Epoch: [2][220/596], lr: 0.0002500	Time 0.523 (0.548)	Loss 0.3325 (0.1702)	Loss_h 3.0281 (3.5588)	Prec@1 87.500 (94.881)	
Epoch: [2][240/596], lr: 0.0002500	Time 0.577 (0.548)	Loss 0.1556 (0.1691)	Loss_h 3.7279 (3.5455)	Prec@1 93.750 (94.891)	
Epoch: [2][260/596], lr: 0.0002500	Time 0.529 (0.547)	Loss 0.6279 (0.1693)	Loss_h 2.9694 (3.5458)	Prec@1 81.250 (94.923)	
Epoch: [2][280/596], lr: 0.0002500	Time 0.540 (0.546)	Loss 0.2631 (0.1682)	Loss_h 3.3982 (3.5429)	Prec@1 87.500 (94.884)	
Epoch: [2][300/596], lr: 0.0002500	Time 0.547 (0.546)	Loss 0.0116 (0.1645)	Loss_h 3.5390 (3.5362)	Prec@1 100.000 (94.975)	
Epoch: [2][320/596], lr: 0.0002500	Time 0.522 (0.545)	Loss 0.0254 (0.1633)	Loss_h 3.8014 (3.5354)	Prec@1 100.000 (95.035)	
Epoch: [2][340/596], lr: 0.0002500	Time 0.516 (0.545)	Loss 0.5466 (0.1649)	Loss_h 4.2514 (3.5342)	Prec@1 87.500 (94.978)	
Epoch: [2][360/596], lr: 0.0002500	Time 0.552 (0.545)	Loss 0.2086 (0.1703)	Loss_h 3.2256 (3.5287)	Prec@1 87.500 (94.789)	
Epoch: [2][380/596], lr: 0.0002500	Time 0.562 (0.545)	Loss 0.2331 (0.1701)	Loss_h 3.3823 (3.5250)	Prec@1 93.750 (94.783)	
Epoch: [2][400/596], lr: 0.0002500	Time 0.522 (0.545)	Loss 0.0384 (0.1705)	Loss_h 3.0503 (3.5178)	Prec@1 100.000 (94.779)	
Epoch: [2][420/596], lr: 0.0002500	Time 0.528 (0.544)	Loss 0.0255 (0.1702)	Loss_h 3.8146 (3.5177)	Prec@1 100.000 (94.774)	
Epoch: [2][440/596], lr: 0.0002500	Time 0.546 (0.544)	Loss 0.1123 (0.1704)	Loss_h 3.5750 (3.5105)	Prec@1 93.750 (94.799)	
Epoch: [2][460/596], lr: 0.0002500	Time 0.527 (0.544)	Loss 0.0021 (0.1718)	Loss_h 2.5778 (3.5019)	Prec@1 100.000 (94.807)	
Epoch: [2][480/596], lr: 0.0002500	Time 0.557 (0.544)	Loss 0.0677 (0.1690)	Loss_h 3.5015 (3.5018)	Prec@1 93.750 (94.893)	
Epoch: [2][500/596], lr: 0.0002500	Time 0.520 (0.544)	Loss 0.0065 (0.1720)	Loss_h 2.5901 (3.4985)	Prec@1 100.000 (94.760)	
Epoch: [2][520/596], lr: 0.0002500	Time 0.514 (0.543)	Loss 0.1730 (0.1725)	Loss_h 3.3975 (3.4910)	Prec@1 93.750 (94.686)	
Epoch: [2][540/596], lr: 0.0002500	Time 0.527 (0.543)	Loss 0.2848 (0.1730)	Loss_h 3.7223 (3.4906)	Prec@1 93.750 (94.674)	
Epoch: [2][560/596], lr: 0.0002500	Time 0.535 (0.543)	Loss 0.0009 (0.1715)	Loss_h 3.1043 (3.4783)	Prec@1 100.000 (94.764)	
Epoch: [2][580/596], lr: 0.0002500	Time 0.557 (0.543)	Loss 0.0019 (0.1697)	Loss_h 2.8666 (3.4757)	Prec@1 100.000 (94.804)	
Test: [0/237]	Time 3.596 (3.596)	Loss 0.1727 (0.1727)	Prec@1 87.500 (87.500)	Prec@5 100.000 (100.000)
Test: [20/237]	Time 0.338 (0.497)	Loss 0.0943 (0.2454)	Prec@1 93.750 (92.560)	Prec@5 100.000 (98.810)
Test: [40/237]	Time 0.322 (0.412)	Loss 0.1138 (0.2463)	Prec@1 93.750 (92.378)	Prec@5 100.000 (98.780)
Test: [60/237]	Time 0.335 (0.383)	Loss 0.0631 (0.2007)	Prec@1 100.000 (93.545)	Prec@5 100.000 (99.180)
Test: [80/237]	Time 0.308 (0.367)	Loss 0.0819 (0.1908)	Prec@1 93.750 (93.596)	Prec@5 100.000 (99.383)
Test: [100/237]	Time 0.315 (0.358)	Loss 0.0653 (0.1980)	Prec@1 100.000 (93.626)	Prec@5 100.000 (99.443)
Test: [120/237]	Time 0.357 (0.351)	Loss 0.3699 (0.1976)	Prec@1 81.250 (93.440)	Prec@5 100.000 (99.483)
Test: [140/237]	Time 0.358 (0.346)	Loss 0.2470 (0.1934)	Prec@1 93.750 (93.573)	Prec@5 100.000 (99.557)
Test: [160/237]	Time 0.406 (0.344)	Loss 0.4930 (0.1906)	Prec@1 87.500 (93.672)	Prec@5 100.000 (99.612)
Test: [180/237]	Time 0.388 (0.341)	Loss 0.3512 (0.1967)	Prec@1 81.250 (93.508)	Prec@5 100.000 (99.620)
Test: [200/237]	Time 0.320 (0.339)	Loss 0.0304 (0.1968)	Prec@1 100.000 (93.532)	Prec@5 100.000 (99.627)
Test: [220/237]	Time 0.316 (0.336)	Loss 0.3478 (0.1993)	Prec@1 93.750 (93.580)	Prec@5 100.000 (99.604)
Testing Results: Prec@1 93.471 Prec@5 99.524 Loss 0.20273
Best Prec@1: 93.471

Epoch: [3][0/596], lr: 0.0002500	Time 2.953 (2.953)	Loss 0.2488 (0.2488)	Loss_h 3.4486 (3.4486)	Prec@1 93.750 (93.750)	
Epoch: [3][20/596], lr: 0.0002500	Time 0.536 (0.659)	Loss 0.0327 (0.1457)	Loss_h 2.8686 (3.3144)	Prec@1 100.000 (95.833)	
Epoch: [3][40/596], lr: 0.0002500	Time 0.545 (0.601)	Loss 0.0446 (0.1463)	Loss_h 3.0410 (3.2855)	Prec@1 100.000 (95.884)	
Epoch: [3][60/596], lr: 0.0002500	Time 0.536 (0.579)	Loss 0.0988 (0.1517)	Loss_h 3.3551 (3.3006)	Prec@1 93.750 (95.492)	
Epoch: [3][80/596], lr: 0.0002500	Time 0.566 (0.570)	Loss 0.0300 (0.1637)	Loss_h 3.6074 (3.2680)	Prec@1 100.000 (95.448)	
Epoch: [3][100/596], lr: 0.0002500	Time 0.553 (0.563)	Loss 0.2456 (0.1683)	Loss_h 3.3854 (3.2519)	Prec@1 93.750 (95.297)	
Epoch: [3][120/596], lr: 0.0002500	Time 0.552 (0.559)	Loss 0.0411 (0.1615)	Loss_h 3.1062 (3.2632)	Prec@1 100.000 (95.455)	
Epoch: [3][140/596], lr: 0.0002500	Time 0.543 (0.556)	Loss 0.0141 (0.1633)	Loss_h 3.6289 (3.2942)	Prec@1 100.000 (95.523)	
Epoch: [3][160/596], lr: 0.0002500	Time 0.548 (0.553)	Loss 0.0087 (0.1568)	Loss_h 3.7367 (3.2908)	Prec@1 100.000 (95.613)	
Epoch: [3][180/596], lr: 0.0002500	Time 0.553 (0.552)	Loss 0.0262 (0.1618)	Loss_h 3.0610 (3.2970)	Prec@1 100.000 (95.580)	
Epoch: [3][200/596], lr: 0.0002500	Time 0.545 (0.550)	Loss 0.1599 (0.1528)	Loss_h 3.9645 (3.3026)	Prec@1 93.750 (95.833)	
Epoch: [3][220/596], lr: 0.0002500	Time 0.526 (0.549)	Loss 0.0286 (0.1512)	Loss_h 3.0562 (3.2964)	Prec@1 100.000 (95.843)	
Epoch: [3][240/596], lr: 0.0002500	Time 0.554 (0.548)	Loss 0.0167 (0.1492)	Loss_h 3.1463 (3.2791)	Prec@1 100.000 (95.851)	
Epoch: [3][260/596], lr: 0.0002500	Time 0.529 (0.547)	Loss 0.1057 (0.1460)	Loss_h 3.5280 (3.2875)	Prec@1 93.750 (95.881)	
Epoch: [3][280/596], lr: 0.0002500	Time 0.550 (0.547)	Loss 0.2614 (0.1427)	Loss_h 3.5332 (3.2873)	Prec@1 93.750 (95.952)	
Epoch: [3][300/596], lr: 0.0002500	Time 0.538 (0.546)	Loss 0.0049 (0.1386)	Loss_h 2.9816 (3.2759)	Prec@1 100.000 (96.034)	
Epoch: [3][320/596], lr: 0.0002500	Time 0.530 (0.546)	Loss 0.3400 (0.1375)	Loss_h 3.8235 (3.2746)	Prec@1 81.250 (95.970)	
Epoch: [3][340/596], lr: 0.0002500	Time 0.519 (0.545)	Loss 0.3817 (0.1370)	Loss_h 3.2178 (3.2745)	Prec@1 87.500 (95.968)	
Epoch: [3][360/596], lr: 0.0002500	Time 0.553 (0.545)	Loss 0.5266 (0.1399)	Loss_h 3.2925 (3.2720)	Prec@1 87.500 (95.931)	
Epoch: [3][380/596], lr: 0.0002500	Time 0.543 (0.545)	Loss 0.0043 (0.1395)	Loss_h 3.4653 (3.2719)	Prec@1 100.000 (95.866)	
Epoch: [3][400/596], lr: 0.0002500	Time 0.530 (0.544)	Loss 0.0031 (0.1385)	Loss_h 2.6926 (3.2702)	Prec@1 100.000 (95.916)	
Epoch: [3][420/596], lr: 0.0002500	Time 0.545 (0.544)	Loss 0.0136 (0.1379)	Loss_h 3.4669 (3.2675)	Prec@1 100.000 (95.962)	
Epoch: [3][440/596], lr: 0.0002500	Time 0.553 (0.544)	Loss 0.0291 (0.1355)	Loss_h 2.9922 (3.2625)	Prec@1 100.000 (96.003)	
Epoch: [3][460/596], lr: 0.0002500	Time 0.544 (0.544)	Loss 0.3609 (0.1357)	Loss_h 3.2270 (3.2582)	Prec@1 87.500 (96.014)	
Epoch: [3][480/596], lr: 0.0002500	Time 0.512 (0.543)	Loss 0.2256 (0.1357)	Loss_h 3.4414 (3.2543)	Prec@1 93.750 (95.998)	
Epoch: [3][500/596], lr: 0.0002500	Time 0.562 (0.543)	Loss 0.1597 (0.1351)	Loss_h 2.9613 (3.2536)	Prec@1 93.750 (95.971)	
Epoch: [3][520/596], lr: 0.0002500	Time 0.541 (0.543)	Loss 0.0764 (0.1345)	Loss_h 2.6864 (3.2436)	Prec@1 93.750 (95.945)	
Epoch: [3][540/596], lr: 0.0002500	Time 0.562 (0.543)	Loss 0.3853 (0.1343)	Loss_h 3.8474 (3.2416)	Prec@1 75.000 (95.899)	
Epoch: [3][560/596], lr: 0.0002500	Time 0.515 (0.543)	Loss 0.2825 (0.1363)	Loss_h 4.1932 (3.2402)	Prec@1 87.500 (95.811)	
Epoch: [3][580/596], lr: 0.0002500	Time 0.557 (0.543)	Loss 0.4289 (0.1387)	Loss_h 3.3468 (3.2398)	Prec@1 87.500 (95.729)	
