Epoch: [2][260/1333], lr: 0.0002500	Time 2.246 (2.047)	Loss 3.7179 (3.9535)	Loss_h 3.9704 (4.4754)	Prec@1 0.000 (9.167)	
Epoch: [2][300/1333], lr: 0.0002500	Time 1.530 (2.053)	Loss 4.3982 (3.9099)	Loss_h 4.3056 (4.3657)	Prec@1 0.000 (7.914)	
Epoch: [2][340/1333], lr: 0.0002500	Time 1.540 (2.045)	Loss 3.3433 (3.9213)	Loss_h 3.1003 (4.3468)	Prec@1 0.000 (7.483)	
Epoch: [2][360/1333], lr: 0.0002500	Time 2.610 (2.066)	Loss 2.2436 (3.8257)	Loss_h 2.3669 (4.1964)	Prec@1 0.000 (7.362)	
Epoch: [2][380/1333], lr: 0.0002500	Time 1.715 (2.050)	Loss 3.9995 (3.7922)	Loss_h 3.8073 (4.1215)	Prec@1 0.000 (6.818)	
Epoch: [2][440/1333], lr: 0.0002500	Time 1.905 (2.014)	Loss 4.8185 (3.8798)	Loss_h 4.8578 (4.1486)	Prec@1 0.000 (6.731)	
Epoch: [2][460/1333], lr: 0.0002500	Time 1.887 (2.012)	Loss 4.3674 (3.8956)	Loss_h 4.3382 (4.1552)	Prec@1 0.000 (6.512)	
Epoch: [2][480/1333], lr: 0.0002500	Time 1.595 (2.005)	Loss 3.9176 (3.8993)	Loss_h 3.8992 (4.1487)	Prec@1 0.000 (6.250)	
Epoch: [2][500/1333], lr: 0.0002500	Time 1.539 (2.009)	Loss 3.8313 (3.8877)	Loss_h 3.8468 (4.1274)	Prec@1 0.000 (5.983)	
Epoch: [2][560/1333], lr: 0.0002500	Time 1.666 (2.031)	Loss 3.5192 (3.8673)	Loss_h 3.5159 (4.0810)	Prec@1 0.000 (5.323)	
Epoch: [2][640/1333], lr: 0.0002500	Time 2.369 (2.062)	Loss 4.9752 (3.8605)	Loss_h 5.0078 (4.0470)	Prec@1 0.000 (4.636)	
Epoch: [2][660/1333], lr: 0.0002500	Time 2.017 (2.073)	Loss 4.0335 (3.8625)	Loss_h 4.0370 (4.0430)	Prec@1 0.000 (4.487)	
Epoch: [2][700/1333], lr: 0.0002500	Time 2.977 (2.099)	Loss 3.6968 (3.8828)	Loss_h 3.6748 (4.0522)	Prec@1 0.000 (4.491)	
Epoch: [2][720/1333], lr: 0.0002500	Time 2.250 (2.104)	Loss 5.9361 (3.9112)	Loss_h 5.9790 (4.0750)	Prec@1 0.000 (4.611)	
Epoch: [2][740/1333], lr: 0.0002500	Time 2.568 (2.105)	Loss 3.4199 (3.9166)	Loss_h 3.4269 (4.0768)	Prec@1 0.000 (4.507)	
Epoch: [2][800/1333], lr: 0.0002500	Time 2.405 (2.105)	Loss 4.8438 (3.9589)	Loss_h 4.8552 (4.1090)	Prec@1 0.000 (4.188)	
Epoch: [2][820/1333], lr: 0.0002500	Time 2.795 (2.107)	Loss 5.0569 (3.9663)	Loss_h 5.1225 (4.1139)	Prec@1 0.000 (4.113)	
Epoch: [2][900/1333], lr: 0.0002500	Time 1.976 (2.095)	Loss 4.8773 (3.9961)	Loss_h 4.9131 (4.1323)	Prec@1 0.000 (3.756)	
Epoch: [2][940/1333], lr: 0.0002500	Time 2.242 (2.097)	Loss 2.5050 (4.0096)	Loss_h 2.5602 (4.1404)	Prec@1 100.000 (4.018)	
Epoch: [2][980/1333], lr: 0.0002500	Time 2.891 (2.105)	Loss 4.7501 (4.0204)	Loss_h 4.7476 (4.1467)	Prec@1 0.000 (4.086)	
Epoch: [2][1000/1333], lr: 0.0002500	Time 1.909 (2.112)	Loss 2.9118 (4.0284)	Loss_h 2.9251 (4.1535)	Prec@1 0.000 (4.025)	
Epoch: [2][1020/1333], lr: 0.0002500	Time 2.465 (2.119)	Loss 4.5531 (4.0396)	Loss_h 4.6304 (4.1630)	Prec@1 0.000 (3.934)	
Epoch: [2][1040/1333], lr: 0.0002500	Time 1.521 (2.113)	Loss 4.7707 (4.0528)	Loss_h 4.8103 (4.1752)	Prec@1 0.000 (3.862)	
Epoch: [2][1060/1333], lr: 0.0002500	Time 1.815 (2.109)	Loss 3.2642 (4.0562)	Loss_h 3.3118 (4.1781)	Prec@1 0.000 (3.785)	
Epoch: [2][1100/1333], lr: 0.0002500	Time 2.612 (2.110)	Loss 4.0075 (4.0651)	Loss_h 4.1126 (4.1849)	Prec@1 0.000 (3.817)	
Epoch: [2][1120/1333], lr: 0.0002500	Time 1.713 (2.106)	Loss 4.3277 (4.0717)	Loss_h 4.4349 (4.1915)	Prec@1 0.000 (3.752)	
Epoch: [2][1160/1333], lr: 0.0002500	Time 1.898 (2.108)	Loss 3.5627 (4.0752)	Loss_h 4.2602 (4.1992)	Prec@1 0.000 (3.797)	
Epoch: [2][1180/1333], lr: 0.0002500	Time 2.653 (2.108)	Loss 4.3667 (4.0668)	Loss_h 5.0434 (4.1979)	Prec@1 0.000 (3.908)	
Epoch: [2][1200/1333], lr: 0.0002500	Time 2.138 (2.106)	Loss 4.3298 (4.0582)	Loss_h 4.9670 (4.2063)	Prec@1 0.000 (3.826)	
Epoch: [2][1240/1333], lr: 0.0002500	Time 1.539 (2.110)	Loss 1.9768 (4.0367)	Loss_h 5.6899 (4.2137)	Prec@1 0.000 (4.020)	
Epoch: [2][1280/1333], lr: 0.0002500	Time 2.076 (2.108)	Loss 3.1397 (4.0251)	Loss_h 4.3883 (4.2239)	Prec@1 0.000 (3.909)	
Epoch: [2][1300/1333], lr: 0.0002500	Time 1.874 (2.104)	Loss 4.3722 (4.0194)	Loss_h 4.8762 (4.2277)	Prec@1 0.000 (3.859)	
Test: [40/457]	Time 2.865 (2.387)	Loss 8.3374 (6.2188)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [100/457]	Time 2.136 (2.395)	Loss 5.5973 (6.8479)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [120/457]	Time 2.043 (2.328)	Loss 5.8054 (6.7764)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [140/457]	Time 1.557 (2.234)	Loss 4.9063 (6.5920)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [160/457]	Time 2.054 (2.211)	Loss 4.3021 (6.3751)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [200/457]	Time 3.030 (2.304)	Loss 4.8463 (6.1254)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [300/457]	Time 1.688 (2.346)	Loss 5.2447 (5.8674)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.690)
Test: [320/457]	Time 2.008 (2.315)	Loss 4.6586 (5.8347)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.645)
Test: [340/457]	Time 2.099 (2.300)	Loss 4.6444 (5.8057)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.610)
Test: [380/457]	Time 1.759 (2.257)	Loss 5.3730 (5.7374)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.541)
Test: [420/457]	Time 1.839 (2.214)	Loss 3.1345 (5.6253)	Prec@1 0.000 (0.000)	Prec@5 100.000 (1.478)
Test: [440/457]	Time 2.184 (2.205)	Loss 3.3825 (5.5174)	Prec@1 0.000 (0.943)	Prec@5 100.000 (4.717)
Testing Results: Prec@1 1.364 Prec@5 5.000 Loss 5.48020
Best Prec@1: 1.818

Epoch: [3][20/1333], lr: 0.0002500	Time 2.399 (2.189)	Loss 4.7547 (4.7525)	Loss_h 4.1731 (4.8070)	Prec@1 0.000 (0.000)	
Epoch: [3][40/1333], lr: 0.0002500	Time 2.139 (2.096)	Loss 2.5264 (4.2444)	Loss_h 2.2816 (4.2702)	Prec@1 0.000 (0.000)	
Epoch: [3][160/1333], lr: 0.0002500	Time 2.223 (2.117)	Loss 4.7681 (4.1847)	Loss_h 4.5671 (4.1441)	Prec@1 0.000 (0.000)	
Epoch: [3][200/1333], lr: 0.0002500	Time 3.804 (2.193)	Loss 2.9298 (4.2193)	Loss_h 3.7891 (4.2181)	Prec@1 0.000 (1.124)	
Epoch: [3][220/1333], lr: 0.0002500	Time 3.961 (2.289)	Loss 3.8738 (4.1263)	Loss_h 4.5881 (4.1886)	Prec@1 0.000 (3.960)	
Epoch: [3][240/1333], lr: 0.0002500	Time 2.395 (2.377)	Loss 1.3779 (4.0333)	Loss_h 3.4172 (4.2015)	Prec@1 100.000 (5.405)	
Epoch: [3][260/1333], lr: 0.0002500	Time 3.164 (2.460)	Loss 2.3825 (3.9326)	Loss_h 4.0451 (4.2194)	Prec@1 0.000 (6.667)	
Epoch: [3][300/1333], lr: 0.0002500	Time 1.608 (2.449)	Loss 6.2719 (4.0251)	Loss_h 3.6756 (4.1699)	Prec@1 0.000 (8.633)	
Epoch: [3][340/1333], lr: 0.0002500	Time 1.597 (2.417)	Loss 2.7787 (4.0697)	Loss_h 3.0368 (4.1642)	Prec@1 0.000 (8.163)	
Epoch: [3][360/1333], lr: 0.0002500	Time 3.487 (2.461)	Loss 0.4553 (3.8805)	Loss_h 2.4706 (4.0111)	Prec@1 100.000 (10.429)	
Epoch: [3][380/1333], lr: 0.0002500	Time 2.648 (2.481)	Loss 3.6211 (3.8304)	Loss_h 3.0487 (3.9348)	Prec@1 0.000 (9.659)	
Epoch: [3][440/1333], lr: 0.0002500	Time 1.969 (2.443)	Loss 4.9774 (3.9221)	Loss_h 4.9628 (3.9741)	Prec@1 0.000 (8.654)	
Epoch: [3][460/1333], lr: 0.0002500	Time 2.201 (2.433)	Loss 4.2872 (3.9397)	Loss_h 4.2771 (3.9873)	Prec@1 0.000 (8.372)	
Epoch: [3][480/1333], lr: 0.0002500	Time 1.646 (2.415)	Loss 3.6752 (3.9439)	Loss_h 3.5042 (3.9865)	Prec@1 0.000 (8.036)	
Epoch: [3][500/1333], lr: 0.0002500	Time 1.592 (2.400)	Loss 3.1662 (3.9171)	Loss_h 3.1119 (3.9558)	Prec@1 0.000 (8.120)	
